League,Season,Stage,Player,Team,GP,MIN,2PM,2PA,3PM,3PA,1PM,1PA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
NBA,2018 - 2019,Regular_Season,Reggie Jackson,DET,82,2288.9,441,1047,174,471,204,236,148,208,45,171,216,344,55,9,1260
NBA,2018 - 2019,Regular_Season,Aaron Gordon,ORL,78,2632.6,470,1046,121,347,185,253,162,172,129,445,574,289,57,56,1246
NBA,2018 - 2019,Regular_Season,Jayson Tatum,BOS,79,2454.6,466,1036,116,311,195,228,122,168,70,407,477,168,84,57,1243
NBA,2018 - 2019,Regular_Season,Eric Bledsoe,MIL,78,2271.8,470,971,124,377,177,236,165,156,82,280,362,430,116,29,1241
NBA,2018 - 2019,Regular_Season,Evan Fournier,ORL,81,2553.3,468,1069,153,450,137,170,154,225,38,220,258,295,71,12,1226
NBA,2018 - 2019,Regular_Season,Dennis Schroder,OKC,79,2313.8,457,1104,124,364,186,227,172,189,38,246,284,323,65,12,1224
NBA,2018 - 2019,Regular_Season,Terrence Ross,ORL,81,2150.1,440,1027,217,566,126,144,90,119,27,253,280,135,72,29,1223
NBA,2018 - 2019,Regular_Season,Jimmy Butler,PHI,65,2185.0,418,904,67,193,312,365,95,111,121,221,342,263,123,39,1215
NBA,2018 - 2019,Regular_Season,Josh Richardson,MIA,73,2539.4,423,1026,164,460,199,231,113,200,54,209,263,298,79,34,1209
NBA,2018 - 2019,Regular_Season,Jeremy Lamb,CHA,79,2250.1,431,979,115,330,231,260,80,140,65,369,434,172,88,32,1208
NBA,2018 - 2019,Regular_Season,John Collins,ATL,61,1828.6,465,831,55,158,203,266,120,199,219,376,595,121,22,39,1188
NBA,2018 - 2019,Regular_Season,Tim Hardaway Jr.,DAL,65,2056.6,390,993,162,477,232,276,105,141,33,189,222,159,54,8,1174
NBA,2018 - 2019,Regular_Season,Deandre Ayton,PHX,71,2182.7,509,870,0,4,141,189,126,209,223,506,729,125,61,67,1159
NBA,2018 - 2019,Regular_Season,Spencer Dinwiddie,BRK,68,1914.0,366,828,124,370,287,356,152,187,26,140,166,311,40,17,1143
NBA,2018 - 2019,Regular_Season,Jusuf Nurkic,POR,72,1973.7,420,826,3,29,282,365,168,250,243,505,748,233,71,103,1125
NBA,2018 - 2019,Regular_Season,Clint Capela,HOU,67,2248.8,474,732,0,0,166,261,94,168,298,550,848,96,44,102,1114
NBA,2018 - 2019,Regular_Season,Serge Ibaka,TOR,74,2010.5,464,877,49,169,135,177,114,211,156,445,601,99,29,103,1112
NBA,2018 - 2019,Regular_Season,Steven Adams,OKC,80,2669.4,481,809,0,2,146,292,135,204,391,369,760,124,117,76,1108
NBA,2018 - 2019,Regular_Season,Eric Gordon,HOU,68,2158.0,384,938,216,600,119,152,90,143,17,131,148,129,41,27,1103
NBA,2018 - 2019,Regular_Season,Jerami Grant,OKC,80,2612.4,409,823,115,293,157,221,67,214,96,321,417,79,61,100,1090
NBA,2018 - 2019,Regular_Season,Dwyane Wade,MIA,72,1885.3,416,960,86,261,165,233,166,118,69,216,285,301,59,38,1083
NBA,2018 - 2019,Regular_Season,Marc Gasol,TOR,79,2436.1,390,870,99,273,192,253,155,217,80,547,627,349,84,86,1071
NBA,2018 - 2019,Regular_Season,"Kelly Oubre, Jr.",PHX,69,1934.8,375,842,108,338,189,244,103,181,71,254,325,84,84,59,1047
NBA,2018 - 2019,Regular_Season,Marcus Morris,BOS,75,2090.5,377,844,146,389,146,173,92,181,76,382,458,109,43,25,1046
NBA,2018 - 2019,Regular_Season,Domantas Sabonis,IND,74,1838.5,413,700,9,17,208,291,160,239,186,504,690,212,48,30,1043
NBA,2018 - 2019,Regular_Season,Joe Harris,BRK,76,2293.5,374,748,183,386,110,133,121,182,52,239,291,181,38,17,1041
NBA,2018 - 2019,Regular_Season,Thaddeus Young,IND,81,2488.9,443,841,51,146,87,135,123,194,192,331,523,204,123,36,1024
NBA,2018 - 2019,Regular_Season,Brook Lopez,MIL,81,2321.7,355,786,187,512,112,133,82,189,33,363,396,98,51,179,1009
NBA,2018 - 2019,Regular_Season,Malcolm Brogdon,MIL,64,1831.7,378,748,104,244,141,152,91,102,65,223,288,205,46,13,1001
NBA,2018 - 2019,Regular_Season,Joe Ingles,UTA,82,2567.6,359,802,189,483,87,123,193,180,35,295,330,469,98,20,994
NBA,2018 - 2019,Regular_Season,Cedi Osman,CLE,76,2443.9,360,844,130,374,141,181,114,195,45,312,357,195,60,11,991
NBA,2018 - 2019,Regular_Season,Bogdan Bogdanovic,SAC,70,1947.1,361,863,134,372,134,162,117,142,40,203,243,267,72,15,990
NBA,2018 - 2019,Regular_Season,Myles Turner,IND,74,2119.0,380,780,76,196,148,201,100,195,101,430,531,115,60,199,984
NBA,2018 - 2019,Regular_Season,Bryn Forbes,SAS,82,2292.5,361,792,176,413,69,78,80,159,18,221,239,175,45,4,967
NBA,2018 - 2019,Regular_Season,Willie Cauley-Stein,SAC,81,2212.7,412,741,1,2,140,254,84,227,181,497,678,194,96,51,965
NBA,2018 - 2019,Regular_Season,Jaylen Brown,BOS,74,1913.4,368,792,95,276,133,202,99,186,65,248,313,100,69,32,964
NBA,2018 - 2019,Regular_Season,Kevin Knox,NYK,75,2157.9,338,914,125,364,162,226,114,175,61,274,335,82,43,24,963
NBA,2018 - 2019,Regular_Season,Jae Crowder,UTA,80,2165.8,318,797,173,522,142,197,85,170,60,324,384,133,64,31,951
NBA,2018 - 2019,Regular_Season,Brandon Ingram,LAL,52,1760.5,362,729,31,94,195,289,129,149,41,226,267,154,28,31,950
NBA,2018 - 2019,Regular_Season,D.J. Augustin,ORL,81,2269.1,318,677,131,311,181,209,128,115,41,162,203,426,52,4,948
NBA,2018 - 2019,Regular_Season,Rudy Gay,SAS,69,1842.3,376,746,74,184,120,147,114,159,63,407,470,182,54,34,946
NBA,2018 - 2019,Regular_Season,Jeff Green,WAS,77,2096.7,326,687,111,320,183,206,101,160,57,252,309,137,43,39,946
NBA,2018 - 2019,Regular_Season,Kentavious Caldwell-Pope,LAL,82,2035.0,325,756,151,435,137,158,65,137,48,190,238,110,73,13,938
NBA,2018 - 2019,Regular_Season,Jabari Parker,WAS,64,1724.3,369,749,61,195,131,184,151,145,79,342,421,152,46,30,930
NBA,2018 - 2019,Regular_Season,Kyle Lowry,TOR,65,2213.4,304,739,157,453,161,194,182,166,41,271,312,564,91,31,926
NBA,2018 - 2019,Regular_Season,Al Horford,BOS,68,1972.8,387,723,73,203,78,95,102,126,120,338,458,283,59,86,925
NBA,2018 - 2019,Regular_Season,Marvin Bagley III,SAC,62,1567.5,356,706,30,96,181,262,98,120,162,309,471,62,33,59,923
NBA,2018 - 2019,Regular_Season,Derrick Rose,MIN,51,1392.2,363,753,54,146,137,160,82,57,33,107,140,220,31,12,917
NBA,2018 - 2019,Regular_Season,Malik Beasley,DEN,81,1878.6,349,737,163,405,56,66,55,116,35,165,200,97,55,10,917
NBA,2018 - 2019,Regular_Season,Enes Kanter,POR,67,1639.6,375,683,10,34,155,197,118,167,257,402,659,116,32,26,915
NBA,2018 - 2019,Regular_Season,Josh Jackson,PHX,79,1988.2,347,841,73,225,143,213,173,209,66,281,347,183,74,56,910
NBA,2018 - 2019,Regular_Season,Chris Paul,HOU,58,1856.8,302,720,127,355,175,203,152,146,36,229,265,473,114,18,906
NBA,2018 - 2019,Regular_Season,Derrick Favors,UTA,76,1766.4,363,619,17,78,154,228,84,163,207,353,560,89,56,106,897
NBA,2018 - 2019,Regular_Season,JaVale McGee,LAL,75,1670.8,400,641,1,12,96,152,108,208,195,371,566,52,47,148,897
NBA,2018 - 2019,Regular_Season,Shai Gilgeous-Alexander,LAC,82,2173.9,341,716,51,139,156,195,141,175,57,175,232,270,96,45,889
NBA,2018 - 2019,Regular_Season,Hassan Whiteside,MIA,72,1674.3,388,680,2,16,109,243,97,192,257,560,817,56,46,136,887
NBA,2018 - 2019,Regular_Season,Paul Millsap,DEN,70,1894.6,322,665,58,159,181,249,95,183,153,352,505,141,83,54,883
NBA,2018 - 2019,Regular_Season,Jarrett Allen,BRK,80,2096.1,335,568,6,45,197,278,103,184,191,481,672,110,43,120,873
NBA,2018 - 2019,Regular_Season,Emmanuel Mudiay,NYK,59,1607.1,330,740,69,210,144,186,140,103,33,163,196,228,43,19,873
NBA,2018 - 2019,Regular_Season,Ricky Rubio,UTA,68,1899.0,295,730,79,254,195,228,180,180,33,210,243,416,91,10,864
NBA,2018 - 2019,Regular_Season,Trevor Ariza,WAS,69,2348.9,294,736,145,434,130,164,106,130,50,321,371,252,91,21,863
NBA,2018 - 2019,Regular_Season,Dario Saric,MIN,81,2022.4,304,696,118,323,132,150,97,182,126,332,458,127,45,9,858
NBA,2018 - 2019,Regular_Season,Justin Holiday,MEM,82,2606.5,300,777,162,465,95,106,104,164,46,277,323,146,121,36,857
NBA,2018 - 2019,Regular_Season,Alex Len,ATL,77,1544.2,320,648,74,204,140,216,97,200,158,266,424,86,27,69,854
NBA,2018 - 2019,Regular_Season,Darren Collison,IND,76,2143.3,308,659,79,194,158,190,125,138,36,196,232,459,110,9,853
NBA,2018 - 2019,Regular_Season,Monte Morris,DEN,82,1970.2,346,702,94,227,65,81,52,102,35,159,194,297,73,4,851
NBA,2018 - 2019,Regular_Season,Wesley Matthews,IND,69,2091.0,279,698,150,403,132,163,91,160,32,138,170,160,54,17,840
NBA,2018 - 2019,Regular_Season,Justise Winslow,MIA,66,1959.5,324,749,96,256,86,137,142,177,63,292,355,282,72,19,830
NBA,2018 - 2019,Regular_Season,Marco Belinelli,SAS,79,1815.4,285,690,147,395,112,124,72,121,16,182,198,132,35,8,829
NBA,2018 - 2019,Regular_Season,Gordon Hayward,BOS,72,1863.3,296,635,77,231,156,187,105,104,51,271,322,244,62,23,825
NBA,2018 - 2019,Regular_Season,Danny Green,TOR,80,2215.5,293,630,198,435,37,44,75,171,60,257,317,126,73,53,821
NBA,2018 - 2019,Regular_Season,Dwight Powell,DAL,77,1662.5,290,486,39,127,196,254,67,201,140,271,411,112,44,50,815
NBA,2018 - 2019,Regular_Season,Patty Mills,SAS,82,1907.7,282,663,159,404,88,103,93,129,24,158,182,245,49,10,811
NBA,2018 - 2019,Regular_Season,Rodney Hood,POR,72,1892.5,292,671,84,236,137,155,55,146,25,132,157,126,59,12,805
NBA,2018 - 2019,Regular_Season,"Jaren Jackson, Jr.",MEM,58,1514.8,298,589,51,142,151,197,98,220,73,199,272,64,52,82,798
NBA,2018 - 2019,Regular_Season,Kelly Olynyk,MIA,79,1812.2,261,564,113,319,152,185,114,183,72,303,375,140,53,37,787
NBA,2018 - 2019,Regular_Season,Otto Porter,CHI,56,1683.8,299,643,104,256,78,96,65,108,54,260,314,120,82,31,780
NBA,2018 - 2019,Regular_Season,Damyean Dotson,NYK,73,2003.7,290,698,126,342,73,98,71,135,34,228,262,135,58,10,779
NBA,2018 - 2019,Regular_Season,Kent Bazemore,ATL,67,1643.4,278,691,96,300,127,175,121,170,37,224,261,152,89,42,779
NBA,2018 - 2019,Regular_Season,T.J. Warren,PHX,43,1360.0,297,611,77,180,101,124,52,119,31,143,174,64,51,29,772
NBA,2018 - 2019,Regular_Season,Al-Farouq Aminu,POR,81,2291.8,257,593,96,280,150,173,72,143,112,498,610,104,68,33,760
NBA,2018 - 2019,Regular_Season,DeAndre Jordan,NYK,69,2047.3,286,446,0,0,186,264,153,167,225,676,901,156,42,73,758
NBA,2018 - 2019,Regular_Season,Thomas Bryant,WAS,72,1496.3,309,502,33,99,107,137,60,126,113,341,454,92,25,67,758
NBA,2018 - 2019,Regular_Season,Marvin Williams,CHA,75,2133.1,275,652,140,382,66,86,47,156,76,331,407,92,71,61,756
NBA,2018 - 2019,Regular_Season,Taj Gibson,MIN,70,1686.5,304,537,11,34,134,177,73,186,172,286,458,84,53,39,753
NBA,2018 - 2019,Regular_Season,DeMarre Carroll,BRK,67,1703.4,227,575,106,310,184,242,73,114,68,281,349,85,31,10,744
NBA,2018 - 2019,Regular_Season,Nemanja Bjelica,SAC,77,1787.9,284,593,103,257,70,92,82,197,125,319,444,147,54,56,741
NBA,2018 - 2019,Regular_Season,Bam Adebayo,MIA,82,1912.6,280,486,3,15,166,226,121,203,165,432,597,184,71,65,729
NBA,2018 - 2019,Regular_Season,Kevin Huerter,ATL,75,2048.5,275,657,136,353,41,56,109,155,60,185,245,214,65,25,727
NBA,2018 - 2019,Regular_Season,Landry Shamet,LAC,79,1801.9,240,557,167,396,75,93,45,155,21,113,134,117,37,10,722
NBA,2018 - 2019,Regular_Season,Jonathan Isaac,ORL,75,1996.2,262,611,86,266,110,135,75,143,99,312,411,80,59,98,720
NBA,2018 - 2019,Regular_Season,Reggie Bullock,LAL,63,1878.9,245,594,148,393,73,85,65,109,22,151,173,129,40,12,711
NBA,2018 - 2019,Regular_Season,Tomas Satoransky,WAS,80,2163.6,257,530,64,162,131,160,120,172,82,197,279,399,82,13,709
NBA,2018 - 2019,Regular_Season,Marcus Smart,BOS,80,2199.8,239,567,126,346,104,129,123,201,57,177,234,321,143,28,708
NBA,2018 - 2019,Regular_Season,Terry Rozier,BOS,79,1791.2,258,666,119,337,73,93,68,101,32,275,307,231,68,21,708
NBA,2018 - 2019,Regular_Season,Jeremy Lin,TOR,74,1436.3,238,541,55,187,176,210,124,144,22,157,179,231,47,13,707
NBA,2018 - 2019,Regular_Season,Tyreke Evans,IND,69,1402.0,257,660,77,216,115,160,118,118,33,168,201,166,58,18,706
NBA,2018 - 2019,Regular_Season,Robin Lopez,CHI,74,1605.9,304,535,7,31,89,123,96,124,140,146,286,89,11,78,704
NBA,2018 - 2019,Regular_Season,Fred VanVleet,TOR,64,1760.2,246,600,112,296,97,115,82,110,21,146,167,307,57,20,701
