League,Season,Stage,Player,Team,GP,MIN,2PM,2PA,3PM,3PA,1PM,1PA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
NBA,2018 - 2019,Regular_Season,Rondae Hollis-Jefferson,BRK,59,1234.1,200,487,9,49,118,183,68,107,83,227,310,96,44,27,527
NBA,2018 - 2019,Regular_Season,Ivica Zubac,LAC,59,1039.3,212,379,0,0,101,126,70,137,115,247,362,63,14,51,525
NBA,2018 - 2019,Regular_Season,Josh Hart,LAL,67,1714.8,189,464,92,274,55,80,58,147,35,213,248,93,64,40,525
NBA,2018 - 2019,Regular_Season,Norman Powell,TOR,60,1126.4,193,400,68,170,62,75,65,96,16,123,139,91,39,13,516
NBA,2018 - 2019,Regular_Season,Wayne Selden,CHI,75,1438.5,196,483,55,174,67,92,79,131,37,143,180,109,33,13,514
NBA,2018 - 2019,Regular_Season,Terrance Ferguson,OKC,74,1931.0,185,431,106,290,37,51,47,231,33,108,141,72,40,16,513
NBA,2018 - 2019,Regular_Season,Zach Collins,POR,77,1355.8,189,400,40,121,94,126,77,174,109,215,324,71,25,66,512
NBA,2018 - 2019,Regular_Season,Mario Hezonja,NYK,58,1206.2,191,464,42,152,87,114,88,110,28,211,239,88,57,8,511
NBA,2018 - 2019,Regular_Season,Quinn Cook,GSW,74,1058.7,204,439,81,200,20,26,50,92,22,135,157,116,20,3,509
NBA,2018 - 2019,Regular_Season,Jamal Crawford,PHX,64,1211.0,174,438,67,202,93,110,99,75,8,77,85,229,33,12,508
NBA,2018 - 2019,Regular_Season,Rodney McGruder,MIA,66,1549.7,186,461,79,225,52,72,64,115,60,178,238,112,36,12,503
NBA,2018 - 2019,Regular_Season,Kevon Looney,GSW,80,1481.4,217,347,1,10,65,105,51,211,194,223,417,123,46,53,500
NBA,2018 - 2019,Regular_Season,Cody Zeller,CHA,49,1243.0,190,345,6,22,111,141,62,164,110,223,333,102,38,41,497
NBA,2018 - 2019,Regular_Season,Frank Jackson,NOP,61,1168.8,194,447,53,169,54,73,48,92,25,109,134,69,25,2,495
NBA,2018 - 2019,Regular_Season,Evan Turner,POR,73,1605.7,204,443,11,52,75,106,114,110,37,291,328,283,33,18,494
NBA,2018 - 2019,Regular_Season,Lance Stephenson,LAL,68,1122.7,184,432,73,197,50,73,86,111,32,183,215,140,41,7,491
NBA,2018 - 2019,Regular_Season,Draymond Green,GSW,66,2064.7,188,422,47,165,63,91,169,197,60,421,481,454,95,70,486
NBA,2018 - 2019,Regular_Season,Mitchell Robinson,NYK,66,1359.5,202,291,0,0,81,135,35,217,177,246,423,37,52,161,485
NBA,2018 - 2019,Regular_Season,Maxi Kleber,DAL,71,1502.0,175,386,77,218,58,74,54,143,90,239,329,70,36,78,485
NBA,2018 - 2019,Regular_Season,Gorgui Dieng,MIN,76,1031.1,189,377,19,56,88,106,57,134,81,230,311,72,48,41,485
NBA,2018 - 2019,Regular_Season,Jahlil Okafor,NOP,59,934.9,212,362,1,5,59,89,52,96,82,196,278,40,15,40,484
NBA,2018 - 2019,Regular_Season,T.J. McConnell,PHI,76,1470.2,220,419,14,42,29,37,91,105,28,146,174,258,79,17,483
NBA,2018 - 2019,Regular_Season,Shaquille Harrison,CHI,73,1429.9,184,426,24,89,82,123,60,124,33,189,222,139,89,30,474
NBA,2018 - 2019,Regular_Season,Ed Davis,BRK,81,1446.1,186,302,0,2,100,162,64,226,216,478,694,61,35,33,472
NBA,2018 - 2019,Regular_Season,Ogugua Anunoby,TOR,67,1352.3,183,404,67,202,36,62,55,140,58,139,197,47,46,22,469
NBA,2018 - 2019,Regular_Season,Tyus Jones,MIN,68,1560.5,185,446,40,126,58,69,47,78,23,111,134,327,81,5,468
NBA,2018 - 2019,Regular_Season,Lonzo Ball,LAL,47,1422.6,185,456,75,228,20,48,103,114,54,197,251,255,69,19,465
NBA,2018 - 2019,Regular_Season,Robert Covington,MIN,35,1202.6,156,362,85,225,68,89,47,126,28,165,193,46,74,47,465
NBA,2018 - 2019,Regular_Season,Iman Shumpert,HOU,62,1480.8,167,446,95,273,36,45,50,127,27,156,183,112,59,24,465
NBA,2018 - 2019,Regular_Season,Maurice Harkless,POR,60,1415.2,189,388,33,120,49,73,45,163,77,192,269,74,67,53,460
NBA,2018 - 2019,Regular_Season,Jonas Jerebko,GSW,73,1218.0,163,355,69,188,64,80,43,137,72,216,288,96,27,18,459
NBA,2018 - 2019,Regular_Season,Ante Zizic,CLE,59,1082.0,183,331,0,0,93,132,61,113,108,212,320,53,13,22,459
NBA,2018 - 2019,Regular_Season,Mike Scott,PHI,79,1395.7,168,420,101,252,22,33,44,156,43,233,276,66,26,13,459
NBA,2018 - 2019,Regular_Season,George Hill,MIL,60,1302.4,170,376,48,153,70,85,51,102,39,109,148,135,52,8,458
NBA,2018 - 2019,Regular_Season,"Wendell Carter, Jr.",CHI,44,1109.8,180,371,6,32,89,112,65,152,87,220,307,78,26,58,455
NBA,2018 - 2019,Regular_Season,Stanley Johnson,NOP,66,1207.3,171,440,62,215,50,64,81,114,34,183,217,88,60,14,454
NBA,2018 - 2019,Regular_Season,Ersan Ilyasova,MIL,67,1231.3,167,381,58,160,61,74,48,172,94,208,302,52,32,20,453
NBA,2018 - 2019,Regular_Season,Mike Muscala,LAL,64,1305.9,145,361,89,256,70,85,48,130,57,187,244,76,22,38,449
NBA,2018 - 2019,Regular_Season,Tony Snell,MIL,74,1303.7,163,361,81,204,37,42,23,90,29,128,157,68,26,18,444
NBA,2018 - 2019,Regular_Season,Torrey Craig,DEN,75,1503.0,160,362,61,188,49,70,44,175,89,174,263,72,37,46,430
NBA,2018 - 2019,Regular_Season,Shelvin Mack,CHA,57,1246.7,163,403,46,130,58,84,66,84,18,86,104,183,47,4,430
NBA,2018 - 2019,Regular_Season,Devin Harris,DAL,68,1070.6,132,347,62,200,102,134,56,133,12,100,112,122,35,16,428
NBA,2018 - 2019,Regular_Season,Michael Kidd-Gilchrist,CHA,64,1179.1,158,332,16,47,95,123,43,156,88,158,246,61,32,39,427
NBA,2018 - 2019,Regular_Season,Royce O'Neale,UTA,82,1671.0,163,343,68,176,32,42,70,172,22,263,285,124,54,24,426
NBA,2018 - 2019,Regular_Season,Jakob Poeltl,SAS,77,1272.6,187,290,0,0,49,92,48,124,178,232,410,93,29,68,423
NBA,2018 - 2019,Regular_Season,Boban Marjanovic,PHI,58,680.7,160,260,4,10,98,131,59,90,87,178,265,54,16,27,422
NBA,2018 - 2019,Regular_Season,Derrick Jones,MIA,60,1153.4,160,324,28,91,74,122,43,123,96,144,240,37,46,42,422
NBA,2018 - 2019,Regular_Season,Pat Connaughton,MIL,61,1261.1,163,350,66,200,29,40,33,81,61,197,258,122,33,25,421
NBA,2018 - 2019,Regular_Season,Willy Hernangomez,CHA,58,812.0,153,295,15,39,100,144,58,98,117,194,311,60,16,20,421
NBA,2018 - 2019,Regular_Season,Yogi Ferrell,SAC,71,1066.6,153,352,54,149,60,67,40,64,13,96,109,137,36,4,420
NBA,2018 - 2019,Regular_Season,J.J. Barea,DAL,38,751.9,161,385,38,128,55,78,72,50,13,82,95,211,22,1,415
NBA,2018 - 2019,Regular_Season,Juancho Hernangomez,DEN,70,1358.2,138,314,66,181,66,86,37,94,64,201,265,55,27,24,408
NBA,2018 - 2019,Regular_Season,Harry Giles,SAC,58,820.0,175,348,0,6,58,91,73,150,66,156,222,85,31,22,408
NBA,2018 - 2019,Regular_Season,Ian Clark,NOP,60,972.5,151,383,66,202,33,37,58,95,13,76,89,94,22,8,401
NBA,2018 - 2019,Regular_Season,Nik Stauskas,CLE,68,1014.6,136,338,70,188,57,64,51,50,18,109,127,81,21,7,399
NBA,2018 - 2019,Regular_Season,Andre Iguodala,GSW,68,1577.9,151,302,48,144,39,67,52,95,48,204,252,216,61,51,389
NBA,2018 - 2019,Regular_Season,James Ennis,PHI,58,1229.5,138,294,55,156,58,81,34,150,60,122,182,41,41,23,389
NBA,2018 - 2019,Regular_Season,Cheick Diallo,NOP,64,895.6,168,271,1,4,50,67,49,113,75,257,332,33,29,33,387
NBA,2018 - 2019,Regular_Season,Nerlens Noel,OKC,77,1055.5,162,276,0,0,54,79,48,166,127,198,325,45,66,96,378
NBA,2018 - 2019,Regular_Season,Daniel Theis,BOS,66,907.6,146,266,26,67,56,76,33,161,87,138,225,68,21,42,374
NBA,2018 - 2019,Regular_Season,Sterling Brown,MIL,58,1034.3,145,312,53,147,29,42,46,88,29,155,184,84,25,8,372
NBA,2018 - 2019,Regular_Season,Meyers Leonard,POR,61,877.6,132,242,50,111,43,51,43,105,49,184,233,75,13,9,357
NBA,2018 - 2019,Regular_Season,Kyle Anderson,MEM,43,1281.5,150,276,9,34,37,64,58,112,48,203,251,128,54,37,346
NBA,2018 - 2019,Regular_Season,Wesley Iwundu,ORL,68,1233.1,113,274,29,79,84,103,44,123,37,147,184,73,28,22,339
NBA,2018 - 2019,Regular_Season,C.J. Miles,MEM,53,856.5,112,311,67,203,48,58,30,79,13,82,95,36,26,15,339
NBA,2018 - 2019,Regular_Season,Alfonzo McKinnie,GSW,72,1003.5,134,275,42,118,27,48,30,134,81,166,247,31,18,15,337
NBA,2018 - 2019,Regular_Season,Anthony Tolliver,MIN,65,1079.2,99,259,81,215,47,60,36,91,15,162,177,46,17,21,326
NBA,2018 - 2019,Regular_Season,Thon Maker,DET,64,972.2,109,268,49,153,56,84,33,105,41,161,202,45,21,51,323
NBA,2018 - 2019,Regular_Season,"Bruce Brown, Jr.",DET,74,1449.2,125,314,24,93,45,60,46,178,48,137,185,91,40,36,319
NBA,2018 - 2019,Regular_Season,Tim Frazier,MIL,59,1119.6,116,261,37,101,41,54,76,112,41,127,168,248,30,5,310
NBA,2018 - 2019,Regular_Season,Mohamed Bamba,ORL,47,766.1,117,243,21,70,37,63,43,102,64,169,233,39,13,64,292
NBA,2018 - 2019,Regular_Season,Jared Dudley,BRK,59,1219.5,101,239,53,151,32,46,43,131,34,121,155,83,36,16,287
NBA,2018 - 2019,Regular_Season,Matt Dellavedova,CLE,48,812.2,98,242,44,130,42,52,68,75,6,71,77,181,14,2,282
NBA,2018 - 2019,Regular_Season,Zaza Pachulia,DET,68,878.1,85,193,0,4,97,124,57,151,99,166,265,91,31,17,267
NBA,2018 - 2019,Regular_Season,Shaun Livingston,GSW,64,966.9,109,210,0,2,40,51,38,74,42,75,117,114,31,27,258
NBA,2018 - 2019,Regular_Season,Jerian Grant,ORL,60,938.8,92,220,40,110,26,40,51,78,19,79,98,156,44,6,250
NBA,2018 - 2019,Regular_Season,Cameron Payne,CLE,40,712.2,96,223,25,84,33,41,45,64,13,59,72,106,28,9,250
NBA,2018 - 2019,Regular_Season,Abdel Nader,OKC,61,693.5,91,215,32,100,27,36,26,68,14,102,116,20,20,12,241
NBA,2018 - 2019,Regular_Season,Cristiano Felicio,CHI,60,746.3,95,179,0,4,50,73,33,69,79,139,218,37,11,7,240
NBA,2018 - 2019,Regular_Season,Georges Niang,UTA,59,516.3,86,181,43,105,20,24,23,57,11,76,87,35,10,6,235
NBA,2018 - 2019,Regular_Season,Marcin Gortat,LAC,47,750.5,99,186,0,0,35,48,50,92,67,194,261,65,6,24,233
NBA,2018 - 2019,Regular_Season,Chandler Hutchison,CHI,44,894.5,96,209,14,50,23,38,25,59,31,154,185,34,23,6,229
NBA,2018 - 2019,Regular_Season,Patrick Patterson,OKC,63,860.6,82,219,46,137,19,30,22,46,42,105,147,31,16,13,229
NBA,2018 - 2019,Regular_Season,T.J. Leaf,IND,58,521.5,99,183,8,31,19,31,12,35,43,82,125,24,9,19,225
NBA,2018 - 2019,Regular_Season,Jordan Bell,GSW,68,788.2,99,192,0,2,25,41,42,80,55,129,184,76,20,51,223
NBA,2018 - 2019,Regular_Season,Tyrone Wallace,LAC,62,627.7,92,217,4,19,30,57,36,83,20,81,101,42,21,7,218
NBA,2018 - 2019,Regular_Season,Dante Cunningham,SAS,64,928.4,75,158,30,65,14,18,22,71,48,140,188,50,27,13,194
NBA,2018 - 2019,Regular_Season,MarShon Brooks,MEM,29,386.7,76,169,15,54,23,33,21,33,12,33,45,25,9,4,190
NBA,2018 - 2019,Regular_Season,Tyson Chandler,LAL,55,874.9,61,99,0,1,51,87,42,110,92,215,307,37,21,23,173
NBA,2018 - 2019,Regular_Season,Markelle Fultz,PHI,19,426.9,65,155,4,14,21,37,25,52,26,44,70,59,17,5,155
NBA,2018 - 2019,Regular_Season,Carmelo Anthony,HOU,10,294.1,49,121,21,64,15,22,8,32,9,45,54,5,4,7,134
NBA,2018 - 2019,Regular_Season,Damian Jones,GSW,24,409.6,53,74,0,0,24,37,16,63,31,44,75,28,12,25,130
NBA,2018 - 2019,Regular_Season,John Henson,MIL,14,188.4,31,67,11,31,6,10,12,16,16,55,71,14,7,11,79
NBA,2018 - 2019,Regular_Season,Sindarius Thornwell,LAC,64,313.1,17,49,3,15,25,34,20,41,5,39,44,18,14,7,62
NBA,2018 - 2019,Regular_Season,Luc Mbah a Moute,LAC,4,61.0,8,18,2,6,2,5,2,8,2,5,7,2,1,1,20
NBA,2018 - 2019,Regular_Season,Tyler Ulis,CHI,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2018 - 2019,Regular_Season,John Holland,CLE,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2018 - 2019,Regular_Season,Zach Lofton,DET,1,3.8,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
